% Moku:BodeAnalyzer
% Ch 1 - DC coupling, 50 Ohm impedance, 20 dB attenuation, output load 50 Ohm, amplitude 100 mVpp
% Ch 2 - DC coupling, 50 Ohm impedance, 20 dB attenuation, output load 50 Ohm, amplitude 20 mVpp
% Logarithmic sweep, calibration off
% Averaging time 2.000 ms, 4 cycles; Settling time 2.000 ms, 1 cycles
% Internal 10 MHz clock
% Acquired 2019-02-08 T 14:47:01 +0900
% Frequency (Hz), Magnitude 1 (dB), Phase 1 (deg), Magnitude 2 (dB), Phase 2 (deg), Math (Ch 1 / Ch 2) magnitude (dB), Math (Ch 1 / Ch 2) phase (deg)
1.462174e+03, 5.785656e+00, -4.526298e+01, 1.144956e+01, -1.151347e+02, -5.663903e+00, 6.987169e+01
1.417004e+03, 5.905534e+00, -4.201321e+01, 1.088718e+01, -1.125979e+02, -4.981644e+00, 7.058474e+01
1.373230e+03, 5.706661e+00, -4.064813e+01, 1.052962e+01, -1.136554e+02, -4.822961e+00, 7.300729e+01
1.330808e+03, 5.847071e+00, -4.013678e+01, 1.049335e+01, -1.123416e+02, -4.646275e+00, 7.220479e+01
1.289696e+03, 5.869323e+00, -3.821461e+01, 1.010841e+01, -1.113407e+02, -4.239085e+00, 7.312613e+01
1.249854e+03, 5.838185e+00, -3.695582e+01, 9.828148e+00, -1.110702e+02, -3.989964e+00, 7.411442e+01
1.211243e+03, 5.883591e+00, -3.604230e+01, 9.617359e+00, -1.103231e+02, -3.733768e+00, 7.428080e+01
1.173825e+03, 5.770691e+00, -3.474215e+01, 9.254522e+00, -1.105955e+02, -3.483830e+00, 7.585337e+01
1.137563e+03, 5.852874e+00, -3.362611e+01, 9.010102e+00, -1.090805e+02, -3.157228e+00, 7.545436e+01
1.102421e+03, 5.843955e+00, -3.251210e+01, 8.721078e+00, -1.087001e+02, -2.877123e+00, 7.618803e+01
1.068365e+03, 5.877411e+00, -3.160813e+01, 8.501910e+00, -1.081968e+02, -2.624499e+00, 7.658868e+01
1.035360e+03, 5.858933e+00, -3.060303e+01, 8.205316e+00, -1.078217e+02, -2.346383e+00, 7.721872e+01
1.003376e+03, 5.880644e+00, -3.020553e+01, 8.077407e+00, -1.073347e+02, -2.196763e+00, 7.712916e+01
9.723790e+02, 5.888509e+00, -2.889141e+01, 7.688353e+00, -1.063263e+02, -1.799844e+00, 7.743489e+01
9.423400e+02, 5.942692e+00, -2.785818e+01, 7.405277e+00, -1.055331e+02, -1.462586e+00, 7.767489e+01
