% Moku:SpectrumAnalyzer
% Ch 1 - DC coupling, 50 Ohm impedance, 20 dB attenuation
% Ch 2 - DC coupling, 50 Ohm impedance, 20 dB attenuation
% Start freq 0 Hz, stop freq 1.00 kHz, RBW 1.569 Hz (Minimum mode), Hanning window, Video filter off, 32 averages
% Internal 10 MHz clock
% Acquired 2019-02-04 T 15:40:08 +0900
% Frequency (Hz), Ch 1 (V/rtHz), Ch 2 (V/rtHz)
3.303847e+02, 3.699614e-05, 3.131106e-06
3.314101e+02, 5.245270e-05, 3.096180e-06
3.324356e+02, 5.228289e-05, 3.091762e-06
3.334610e+02, 4.229431e-05, 2.609535e-06
3.344865e+02, 3.227344e-05, 2.654349e-06
3.355120e+02, 3.724205e-05, 2.823928e-06
3.365374e+02, 4.371607e-05, 3.132578e-06
3.375629e+02, 4.959199e-05, 2.947851e-06
3.385883e+02, 3.630895e-05, 2.977517e-06
3.396138e+02, 3.586599e-05, 3.219472e-06
3.406392e+02, 4.670088e-05, 3.636896e-06
3.416647e+02, 5.510272e-05, 2.731144e-06
3.426902e+02, 5.514528e-05, 2.880314e-06
3.437156e+02, 5.646578e-05, 3.047789e-06
3.447411e+02, 6.159896e-05, 3.228098e-06
3.457665e+02, 8.375321e-05, 3.491513e-06
3.467920e+02, 9.780498e-05, 3.169608e-06
3.478174e+02, 4.866350e-05, 2.992245e-06
3.488429e+02, 2.805113e-05, 2.850017e-06
3.498683e+02, 3.597291e-05, 2.811305e-06
3.508938e+02, 3.379205e-05, 3.210214e-06
3.519193e+02, 3.000160e-05, 2.900512e-06
3.529447e+02, 2.988148e-05, 2.829188e-06
3.539702e+02, 2.356867e-05, 2.836762e-06
3.549956e+02, 2.433804e-05, 3.000871e-06
3.560211e+02, 2.232259e-05, 2.984039e-06
3.570465e+02, 1.835479e-05, 2.950376e-06
3.580720e+02, 2.261734e-05, 3.045475e-06
3.590975e+02, 2.505940e-05, 3.194224e-06
3.601229e+02, 2.831213e-05, 2.813198e-06
3.611484e+02, 2.255340e-05, 2.523904e-06
3.621738e+02, 1.754055e-05, 2.870215e-06
3.631993e+02, 1.914575e-05, 2.820352e-06
3.642247e+02, 1.694833e-05, 3.211477e-06
3.652502e+02, 1.216105e-05, 3.522231e-06
3.662756e+02, 9.848127e-06, 2.938804e-06
3.673011e+02, 1.023302e-05, 2.738297e-06
3.683266e+02, 1.591167e-05, 2.394721e-06
3.693520e+02, 2.335568e-05, 2.616689e-06
3.703775e+02, 3.080849e-05, 2.817406e-06
3.714029e+02, 3.905373e-05, 2.994349e-06
3.724284e+02, 3.937574e-05, 3.090079e-06
3.734538e+02, 4.358441e-05, 3.406303e-06
3.744793e+02, 6.172579e-05, 2.831713e-06
3.755048e+02, 8.001475e-05, 3.133420e-06
3.765302e+02, 6.032877e-05, 3.426922e-06
3.775557e+02, 3.677812e-05, 3.052418e-06
3.785811e+02, 2.795323e-05, 3.152145e-06
3.796066e+02, 3.666513e-05, 3.370115e-06
3.806320e+02, 3.950676e-05, 2.897567e-06
3.816575e+02, 3.999500e-05, 3.097022e-06
3.826829e+02, 4.392717e-05, 3.053680e-06
3.837084e+02, 3.884556e-05, 2.943433e-06
3.847339e+02, 3.276755e-05, 2.881366e-06
3.857593e+02, 2.679792e-05, 3.044633e-06
3.867848e+02, 2.160521e-05, 3.179917e-06
3.878102e+02, 1.710011e-05, 3.244930e-06
3.888357e+02, 1.275978e-05, 3.055153e-06
3.898611e+02, 1.417022e-05, 2.887678e-06
3.908866e+02, 2.009708e-05, 2.938383e-06
3.919121e+02, 2.010505e-05, 2.922604e-06
3.929375e+02, 2.040797e-05, 3.094286e-06
3.939630e+02, 1.809211e-05, 2.981094e-06
3.949884e+02, 1.917468e-05, 3.062306e-06
3.960139e+02, 2.040210e-05, 3.577986e-06
3.970393e+02, 2.540719e-05, 3.440177e-06
3.980648e+02, 3.094497e-05, 2.835921e-06
3.990902e+02, 3.711962e-05, 2.780376e-06
4.001157e+02, 5.200638e-05, 2.737666e-06
4.011412e+02, 6.768473e-05, 2.970784e-06
4.021666e+02, 5.977742e-05, 3.291848e-06
4.031921e+02, 8.142183e-05, 3.223469e-06
4.042175e+02, 1.373866e-04, 2.949955e-06
4.052430e+02, 8.531878e-05, 2.962579e-06
4.062684e+02, 5.083576e-05, 3.086502e-06
4.072939e+02, 4.702435e-05, 2.731565e-06
4.083194e+02, 4.617301e-05, 2.710946e-06
4.093448e+02, 4.471624e-05, 2.601119e-06
4.103703e+02, 5.022278e-05, 2.455736e-06
4.113957e+02, 5.469938e-05, 2.936279e-06
4.124212e+02, 6.104447e-05, 2.998136e-06
4.134466e+02, 6.999618e-05, 2.717889e-06
4.144721e+02, 8.567474e-05, 2.655822e-06
4.154975e+02, 8.292262e-05, 2.761862e-06
