% Moku:SpectrumAnalyzer
% Ch 1 - DC coupling, 50 Ohm impedance, 20 dB attenuation
% Ch 2 - DC coupling, 50 Ohm impedance, 20 dB attenuation
% Start freq 0 Hz, stop freq 3.00 kHz, RBW 4.632 Hz (Minimum mode), Hanning window, Video filter off, 16 averages
% Internal 10 MHz clock
% Acquired 2019-02-08 T 14:53:32 +0900
% Frequency (Hz), Ch 1 (V/rtHz), Ch 2 (V/rtHz)
1.110839e+03, 3.641688e-06, 2.401153e-06
1.113867e+03, 3.899208e-06, 2.082671e-06
1.116895e+03, 3.728591e-06, 2.356875e-06
1.119922e+03, 2.834579e-06, 2.014920e-06
1.122950e+03, 2.285788e-06, 2.308062e-06
1.125977e+03, 2.066272e-06, 2.353407e-06
1.129005e+03, 2.742361e-06, 1.915427e-06
1.132032e+03, 3.211956e-06, 1.969575e-06
1.135060e+03, 2.785680e-06, 2.201101e-06
1.138087e+03, 2.579451e-06, 2.137351e-06
1.141115e+03, 2.688944e-06, 2.014920e-06
1.144142e+03, 2.347710e-06, 2.195233e-06
1.147170e+03, 1.962626e-06, 2.125348e-06
1.150197e+03, 2.221740e-06, 1.642290e-06
1.153225e+03, 2.374552e-06, 1.955438e-06
1.156252e+03, 2.504773e-06, 1.704706e-06
1.159280e+03, 2.285522e-06, 1.816469e-06
1.162308e+03, 2.848930e-06, 1.960772e-06
1.165335e+03, 3.004665e-06, 1.998115e-06
1.168363e+03, 3.169967e-06, 2.616942e-06
1.171390e+03, 3.477183e-06, 2.302194e-06
1.174418e+03, 3.116549e-06, 1.790595e-06
1.177445e+03, 2.439397e-06, 1.907159e-06
1.180473e+03, 2.568289e-06, 1.543598e-06
1.183500e+03, 2.351431e-06, 1.708707e-06
1.186528e+03, 1.999832e-06, 2.307529e-06
1.189555e+03, 1.866156e-06, 2.045861e-06
1.192583e+03, 2.279676e-06, 1.493185e-06
1.195610e+03, 2.569884e-06, 1.696704e-06
1.198638e+03, 2.482449e-06, 2.013319e-06
1.201666e+03, 2.776378e-06, 2.339804e-06
1.204693e+03, 3.155881e-06, 2.148554e-06
1.207721e+03, 3.096617e-06, 2.256049e-06
1.210748e+03, 2.403785e-06, 2.020254e-06
1.213776e+03, 2.310770e-06, 1.796197e-06
1.216803e+03, 2.342926e-06, 1.805799e-06
1.219831e+03, 2.169652e-06, 2.212838e-06
1.222858e+03, 2.522047e-06, 1.931165e-06
1.225886e+03, 1.975117e-06, 2.081070e-06
1.228913e+03, 2.010994e-06, 2.238177e-06
1.231941e+03, 2.277815e-06, 1.861013e-06
1.234968e+03, 2.508760e-06, 2.085605e-06
1.237996e+03, 3.139404e-06, 2.130416e-06
1.241024e+03, 2.958157e-06, 2.237644e-06
1.244051e+03, 2.587956e-06, 2.230976e-06
1.247079e+03, 2.295887e-06, 2.246179e-06
1.250106e+03, 1.841972e-06, 1.864481e-06
1.253134e+03, 1.841440e-06, 1.872216e-06
1.256161e+03, 1.954122e-06, 1.950370e-06
1.259189e+03, 1.585515e-06, 1.653226e-06
1.262216e+03, 2.022687e-06, 1.870616e-06
1.265244e+03, 2.144139e-06, 2.307795e-06
1.268271e+03, 2.241672e-06, 2.339003e-06
1.271299e+03, 2.413884e-06, 2.074669e-06
1.274326e+03, 2.846539e-06, 2.000249e-06
1.277354e+03, 2.937694e-06, 1.711908e-06
1.280382e+03, 2.337611e-06, 1.891955e-06
1.283409e+03, 2.010197e-06, 2.082671e-06
1.286437e+03, 1.929938e-06, 2.049595e-06
1.289464e+03, 2.100023e-06, 2.045328e-06
1.292492e+03, 2.159553e-06, 2.029857e-06
1.295519e+03, 2.263199e-06, 2.043727e-06
1.298547e+03, 2.787274e-06, 1.882619e-06
1.301574e+03, 2.782491e-06, 1.883953e-06
1.304602e+03, 2.353822e-06, 2.134417e-06
1.307629e+03, 2.511151e-06, 2.123214e-06
1.310657e+03, 2.098429e-06, 1.920762e-06
1.313684e+03, 2.079560e-06, 1.524660e-06
1.316712e+03, 2.108527e-06, 1.411831e-06
1.319740e+03, 1.890871e-06, 1.727912e-06
1.322767e+03, 1.942163e-06, 1.739649e-06
1.325795e+03, 1.783505e-06, 1.595078e-06
1.328822e+03, 2.110653e-06, 1.548666e-06
1.331850e+03, 1.880241e-06, 1.609215e-06
1.334877e+03, 2.017904e-06, 2.200034e-06
1.337905e+03, 2.120221e-06, 2.367544e-06
1.340932e+03, 2.340003e-06, 2.665221e-06
1.343960e+03, 2.265325e-06, 2.290991e-06
1.346987e+03, 2.180548e-06, 1.784994e-06
1.350015e+03, 1.987342e-06, 1.884486e-06
1.353042e+03, 1.509508e-06, 2.028790e-06
1.356070e+03, 1.804765e-06, 2.353407e-06
1.359098e+03, 1.983621e-06, 1.790329e-06
1.362125e+03, 1.668697e-06, 1.958905e-06
1.365153e+03, 1.636806e-06, 2.068800e-06
1.368180e+03, 2.073979e-06, 1.723378e-06
1.371208e+03, 2.314224e-06, 1.534796e-06
1.374235e+03, 2.202872e-06, 1.682301e-06
1.377263e+03, 1.848084e-06, 1.651626e-06
1.380290e+03, 1.842503e-06, 1.409964e-06
1.383318e+03, 1.815130e-06, 1.659361e-06
1.386345e+03, 2.220412e-06, 1.804732e-06
1.389373e+03, 2.422920e-06, 1.935433e-06
1.392400e+03, 1.718926e-06, 2.472371e-06
1.395428e+03, 1.386196e-06, 2.132550e-06
1.398455e+03, 1.972459e-06, 1.830072e-06
1.401483e+03, 2.298545e-06, 1.834607e-06
1.404511e+03, 2.085672e-06, 2.137351e-06
1.407538e+03, 2.551281e-06, 2.053330e-06
1.410566e+03, 2.559254e-06, 1.907959e-06
1.413593e+03, 1.940834e-06, 2.054130e-06
1.416621e+03, 1.730087e-06, 1.523593e-06
1.419648e+03, 2.039164e-06, 1.735914e-06
1.422676e+03, 2.081952e-06, 1.702039e-06
1.425703e+03, 1.872002e-06, 1.982378e-06
1.428731e+03, 2.120486e-06, 2.101075e-06
1.431758e+03, 2.071587e-06, 2.234176e-06
1.434786e+03, 2.354354e-06, 1.636155e-06
1.437813e+03, 2.174170e-06, 1.863147e-06
1.440841e+03, 2.349570e-06, 2.284323e-06
1.443869e+03, 2.496269e-06, 1.838341e-06
1.446896e+03, 2.460923e-06, 1.952504e-06
1.449924e+03, 2.105338e-06, 2.222707e-06
1.452951e+03, 2.115969e-06, 2.245646e-06
1.455979e+03, 2.019764e-06, 2.222173e-06
1.459006e+03, 2.215894e-06, 1.715909e-06
1.462034e+03, 2.393155e-06, 1.913827e-06
1.465061e+03, 2.628617e-06, 1.780993e-06
1.468089e+03, 2.675922e-06, 1.738315e-06
1.471116e+03, 2.546497e-06, 1.623085e-06
1.474144e+03, 2.328044e-06, 1.743650e-06
1.477171e+03, 1.958905e-06, 2.023989e-06
1.480199e+03, 2.586361e-06, 1.696438e-06
1.483227e+03, 2.371894e-06, 1.788195e-06
1.486254e+03, 1.992922e-06, 2.081604e-06
1.489282e+03, 2.208453e-06, 1.500921e-06
1.492309e+03, 2.923343e-06, 1.972242e-06
1.495337e+03, 3.290621e-06, 1.733781e-06
